iter	Passed	Remaining
0	151	151327
1	153	76609
2	165	54875
3	167	41793
4	172	34255
5	176	29224
6	179	25469
7	182	22638
8	186	20526
9	189	18728
10	192	17289
11	195	16109
12	197	15020
13	200	14119
14	204	13415
15	207	12735
16	209	12097
17	211	11532
18	214	11050
19	216	10601
20	220	10261
21	223	9928
22	225	9580
23	228	9285
24	230	8973
25	231	8689
26	236	8537
27	238	8291
28	241	8091
29	243	7871
30	246	7699
31	248	7513
32	257	7551
33	261	7427
34	263	7257
35	265	7101
36	267	6960
37	269	6827
38	272	6705
39	276	6641
40	282	6604
41	285	6511
42	287	6394
43	289	6280
44	290	6170
45	292	6066
46	298	6049
47	300	5966
48	302	5878
49	304	5789
50	306	5700
51	311	5671
52	313	5594
53	315	5535
54	317	5461
55	319	5389
56	321	5315
57	327	5319
58	329	5259
59	331	5200
60	334	5146
61	336	5091
62	340	5060
63	343	5016
64	345	4967
65	347	4915
66	349	4861
67	350	4808
68	352	4759
69	358	4762
70	360	4722
71	362	4674
72	364	4626
73	365	4579
74	367	4532
75	369	4489
76	371	4453
77	374	4428
78	376	4387
79	378	4352
80	380	4313
81	385	4314
82	386	4268
83	390	4255
84	392	4219
85	393	4183
86	395	4153
87	401	4156
88	402	4124
89	405	4098
90	407	4069
91	409	4037
92	410	4007
93	415	4009
94	417	3980
95	420	3964
96	422	3933
97	424	3905
98	425	3876
99	430	3875
100	435	3877
101	437	3855
102	440	3838
103	442	3812
104	448	3821
105	453	3823
106	455	3798
107	456	3773
108	458	3749
109	463	3754
110	467	3742
111	468	3718
112	472	3706
113	479	3723
114	482	3712
115	484	3689
116	485	3664
117	487	3643
118	489	3621
119	494	3623
120	498	3622
121	501	3609
122	503	3592
123	505	3572
124	510	3573
125	513	3561
126	514	3538
127	516	3519
128	520	3516
129	528	3534
130	530	3521
131	533	3508
132	539	3517
133	542	3505
134	544	3489
135	546	3474
136	548	3457
137	553	3458
138	555	3443
139	558	3430
140	560	3414
141	563	3405
142	565	3390
143	571	3400
144	574	3385
145	576	3369
146	578	3354
147	582	3351
148	586	3350
149	592	3354
150	611	3440
151	618	3448
152	621	3439
153	623	3425
154	629	3434
155	633	3425
156	635	3414
157	639	3407
158	641	3393
159	644	3383
160	646	3368
161	648	3354
162	652	3350
163	655	3341
164	657	3326
165	668	3356
166	670	3343
167	680	3368
168	683	3361
169	686	3350
170	688	3338
171	696	3354
172	699	3341
173	701	3328
174	708	3338
175	713	3339
176	716	3329
177	719	3320
178	725	3325
179	727	3313
180	729	3300
181	731	3288
182	733	3275
183	735	3262
184	749	3300
185	751	3289
186	755	3283
187	757	3273
188	761	3265
189	763	3253
190	766	3245
191	769	3237
192	771	3226
193	774	3216
194	776	3206
195	778	3193
196	780	3179
197	781	3165
198	787	3171
199	790	3161
200	792	3148
201	793	3135
202	795	3122
203	797	3110
204	802	3113
205	805	3104
